18:42, Sunday, February 15, 2026
Study name:Static 2
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
19796  ,100.506  ,46.2771  ,-98.4095  ,3.93622e-01
15367  ,102.454  ,41.0845  ,-99.1707  ,3.93606e-01
15361  ,101.955  ,42.4333  ,-99.0685  ,3.93569e-01
51582  ,100.364  ,46.3596  ,-99.4009  ,3.93544e-01
27001  ,99.371  ,48.8922  ,-98.2816  ,3.93531e-01
37699  ,99.6702  ,47.9929  ,-99.306  ,3.93508e-01
44326  ,102.448  ,41.1592  ,-98.5234  ,3.93474e-01
51550  ,102.797  ,40.1328  ,-98.5881  ,3.93431e-01
27051  ,99.9534  ,47.5831  ,-97.8556  ,3.93428e-01
15373  ,102.127  ,42.023  ,-98.3485  ,3.93406e-01
56335  ,101.991  ,42.3864  ,-98.3366  ,3.93400e-01
21575  ,99.2243  ,48.9429  ,-99.2726  ,3.93387e-01
2511  ,101.125  ,44.2409  ,-99.9657  ,3.93364e-01
4669  ,101.443  ,43.8655  ,-97.9859  ,3.93354e-01
47041  ,101.203  ,44.4669  ,-97.9649  ,3.93335e-01
4687  ,100.963  ,45.0683  ,-97.9439  ,3.93329e-01
46161  ,100.908  ,44.755  ,-99.9467  ,3.93307e-01
37710  ,100.038  ,47.0811  ,-98.8399  ,3.93264e-01
2510  ,100.69  ,45.269  ,-99.9277  ,3.93261e-01
27608  ,102.697  ,40.0221  ,-99.5831  ,3.93241e-01
56342  ,101.178  ,44.1063  ,-99.4933  ,3.93209e-01
47044  ,101.337  ,43.9186  ,-98.5034  ,3.93205e-01
27315  ,101.772  ,42.4956  ,-99.7535  ,3.93200e-01
15362  ,101.63  ,43.013  ,-99.1262  ,3.93199e-01
47045  ,101.097  ,44.5199  ,-98.4824  ,3.93186e-01
37698  ,99.6591  ,47.7148  ,-99.8375  ,3.93182e-01
56341  ,101.276  ,43.7036  ,-99.9789  ,3.93147e-01
44328  ,102.478  ,40.7617  ,-98.7232  ,3.93124e-01
4257  ,99.2264  ,49.0478  ,-97.792  ,3.93073e-01
55280  ,102.175  ,41.2386  ,-100.058  ,3.93070e-01
37708  ,100.17  ,46.737  ,-98.3801  ,3.93064e-01
8737  ,101.231  ,43.9716  ,-99.0209  ,3.93055e-01
39130  ,100.689  ,45.5686  ,-97.9199  ,3.93048e-01
53954  ,101.667  ,42.966  ,-98.3944  ,3.93028e-01
57057  ,102.809  ,39.8948  ,-98.1054  ,3.93013e-01
10556  ,99.4948  ,48.2046  ,-98.7637  ,3.93005e-01
56344  ,101.329  ,43.569  ,-99.5065  ,3.92996e-01
44325  ,102.472  ,40.8363  ,-98.0759  ,3.92989e-01
17179  ,102.182  ,41.6412  ,-98.0505  ,3.92988e-01
37711  ,100.026  ,46.803  ,-99.3714  ,3.92952e-01
17178  ,102.009  ,42.0832  ,-98.0354  ,3.92947e-01
2512  ,101.428  ,43.1664  ,-99.9922  ,3.92943e-01
52545  ,102.381  ,40.6507  ,-99.7185  ,3.92942e-01
56334  ,101.872  ,42.4466  ,-98.0235  ,3.92941e-01
51594  ,100.411  ,45.7516  ,-99.9032  ,3.92936e-01
21576  ,99.0321  ,49.1374  ,-98.7289  ,3.92798e-01
5640  ,102.706  ,39.7685  ,-99.0638  ,3.92789e-01
53951  ,101.709  ,42.7707  ,-98.0092  ,3.92785e-01
4686  ,100.414  ,46.069  ,-97.8959  ,3.92775e-01
2233  ,98.9301  ,49.1457  ,-99.7737  ,3.92769e-01
7351  ,101.96  ,41.9376  ,-98.6367  ,3.92764e-01
19794  ,100.531  ,45.5919  ,-98.7057  ,3.92750e-01
53956  ,101.377  ,43.4812  ,-98.369  ,3.92676e-01
19798  ,100.315  ,46.0161  ,-98.8677  ,3.92642e-01
2361  ,100.131  ,46.2341  ,-99.8787  ,3.92618e-01
27053  ,99.562  ,47.9963  ,-97.8213  ,3.92597e-01
27607  ,102.598  ,39.6539  ,-100.095  ,3.92576e-01
39117  ,100.647  ,45.1449  ,-98.8458  ,3.92551e-01
27304  ,101.271  ,43.5342  ,-98.8865  ,3.92526e-01
51551  ,102.394  ,40.3966  ,-99.1995  ,3.92495e-01
15368  ,102.02  ,41.4811  ,-98.9859  ,3.92483e-01
55262  ,101.511  ,42.6143  ,-99.9995  ,3.92476e-01
27319  ,101.369  ,43.1316  ,-99.3721  ,3.92475e-01
27301  ,101.627  ,42.4402  ,-99.3859  ,3.92468e-01
53952  ,101.42  ,43.2859  ,-97.9838  ,3.92428e-01
27312  ,101.777  ,41.9999  ,-99.3217  ,3.92395e-01
15358  ,101.635  ,42.5172  ,-98.6944  ,3.92380e-01
17182  ,102.014  ,41.5558  ,-98.3386  ,3.92350e-01
33767  ,102.709  ,39.5318  ,-98.5804  ,3.92348e-01
21698  ,99.2684  ,48.1123  ,-99.8033  ,3.92329e-01
26370  ,98.8817  ,49.2856  ,-98.2388  ,3.92307e-01
17181  ,101.841  ,41.9978  ,-98.3235  ,3.92305e-01
7354  ,102.081  ,41.0247  ,-99.3352  ,3.92212e-01
49619  ,100.079  ,46.529  ,-97.8665  ,3.92212e-01
52546  ,102.151  ,40.6112  ,-100.055  ,3.92157e-01
18990  ,98.7318  ,49.3324  ,-99.2295  ,3.92145e-01
55265  ,101.678  ,42.3219  ,-98.3092  ,3.92142e-01
55281  ,101.838  ,41.5434  ,-99.671  ,3.92114e-01
27601  ,102.598  ,39.4018  ,-99.5745  ,3.92099e-01
39120  ,100.498  ,45.3077  ,-98.3781  ,3.92081e-01
44329  ,102.075  ,41.0994  ,-98.6879  ,3.92079e-01
6355  ,99.4777  ,47.6771  ,-98.7566  ,3.92063e-01
19815  ,100.362  ,45.408  ,-99.3699  ,3.92046e-01
2343  ,101.594  ,42.0622  ,-100.007  ,3.92024e-01
16524  ,99.7932  ,46.6775  ,-99.8492  ,3.92022e-01
10552  ,99.0558  ,48.6252  ,-98.737  ,3.92015e-01
7352  ,101.311  ,43.0968  ,-98.7521  ,3.92006e-01
10553  ,99.2361  ,48.2737  ,-98.2698  ,3.91959e-01
1468  ,102.068  ,41.1741  ,-98.0406  ,3.91944e-01
50275  ,100.695  ,44.447  ,-99.529  ,3.91911e-01
17180  ,101.895  ,41.6161  ,-98.0255  ,3.91891e-01
39122  ,100.614  ,44.8607  ,-98.5181  ,3.91889e-01
1096  ,102.706  ,39.2961  ,-98.0964  ,3.91889e-01
26354  ,99.6104  ,47.333  ,-98.2969  ,3.91855e-01
39116  ,100.478  ,44.9611  ,-99.51  ,3.91853e-01
1113  ,101.722  ,42.0581  ,-98.0103  ,3.91845e-01
37709  ,99.9165  ,46.487  ,-98.8047  ,3.91842e-01
21700  ,99.093  ,48.3241  ,-99.2611  ,3.91827e-01
