18:34, Sunday, February 15, 2026
Study name:Static 1
Units: N/m^2
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,VON (N/m^2)
7250  ,96.821  ,41.7823  ,-72.5315  ,1.38206e+08
74507  ,96.1659  ,41.2872  ,-72.6607  ,1.38202e+08
60641  ,96.9251  ,40.9365  ,-72.5024  ,1.38174e+08
54203  ,97.4565  ,40.6341  ,-63.0882  ,1.38161e+08
7092  ,97.733  ,41.4822  ,-63.2138  ,1.38160e+08
59065  ,97.0125  ,41.1897  ,-62.9268  ,1.38149e+08
37200  ,96.9389  ,41.6322  ,-72.4984  ,1.38118e+08
42758  ,96.9688  ,41.0922  ,-72.4895  ,1.38103e+08
77406  ,96.3871  ,41.9361  ,-72.6272  ,1.38099e+08
59091  ,97.0125  ,41.3847  ,-62.9268  ,1.38087e+08
31860  ,97.2027  ,40.6364  ,-62.9902  ,1.38070e+08
60618  ,96.38  ,40.6345  ,-72.6284  ,1.38058e+08
86744  ,97.6789  ,40.7902  ,-63.1876  ,1.38015e+08
52385  ,97.6911  ,41.7915  ,-63.1934  ,1.37988e+08
940  ,96.1659  ,41.0922  ,-72.6607  ,1.37981e+08
20754  ,96.4758  ,41.935  ,-72.6109  ,1.37980e+08
7154  ,97.4148  ,42.0925  ,-63.071  ,1.37977e+08
88584  ,97.6237  ,40.6341  ,-63.1617  ,1.37970e+08
7246  ,96.1659  ,41.4822  ,-72.6607  ,1.37965e+08
50347  ,97.7738  ,41.1897  ,-63.2341  ,1.37953e+08
25587  ,96.2467  ,41.782  ,-72.6496  ,1.37905e+08
86395  ,97.6378  ,41.944  ,-63.1683  ,1.37905e+08
69037  ,97.5539  ,41.944  ,-63.1302  ,1.37899e+08
725  ,96.9688  ,41.2872  ,-62.9135  ,1.37889e+08
60647  ,97.0125  ,41.1897  ,-72.4761  ,1.37889e+08
55617  ,96.2358  ,40.7849  ,-72.6512  ,1.37819e+08
42724  ,97.0125  ,41.3847  ,-72.4761  ,1.37818e+08
32767  ,96.7574  ,41.937  ,-72.5481  ,1.37801e+08
64452  ,97.8146  ,41.0922  ,-63.2548  ,1.37799e+08
60977  ,96.6156  ,40.4822  ,-72.5818  ,1.37798e+08
64450  ,97.7875  ,40.9432  ,-63.241  ,1.37794e+08
54217  ,96.8445  ,41.9358  ,-72.5252  ,1.37724e+08
76768  ,97.7738  ,41.3847  ,-63.2341  ,1.37708e+08
15326  ,97.3292  ,42.0925  ,-63.0371  ,1.37663e+08
54903  ,96.1206  ,41.3847  ,-72.6663  ,1.37656e+08
899  ,97.5676  ,40.4822  ,-63.1362  ,1.37652e+08
51138  ,97.4839  ,40.4822  ,-63.0998  ,1.37633e+08
32722  ,96.605  ,42.0907  ,-72.5842  ,1.37622e+08
15324  ,97.2131  ,41.9399  ,-62.9939  ,1.37605e+08
44772  ,97.4998  ,42.0925  ,-63.1066  ,1.37605e+08
55320  ,96.1206  ,41.1897  ,-72.6663  ,1.37592e+08
34765  ,96.8372  ,40.6315  ,-72.5271  ,1.37581e+08
32882  ,96.9688  ,41.4822  ,-62.9135  ,1.37574e+08
31861  ,97.1164  ,40.6364  ,-62.9604  ,1.37567e+08
730  ,97.8145  ,41.2872  ,-63.2548  ,1.37538e+08
36199  ,96.2898  ,40.6345  ,-72.6432  ,1.37533e+08
20759  ,96.2979  ,41.9361  ,-72.6419  ,1.37506e+08
48887  ,97.8146  ,41.4822  ,-63.2548  ,1.37472e+08
20751  ,96.4277  ,42.0907  ,-72.6199  ,1.37467e+08
67958  ,97.7945  ,41.6349  ,-63.2445  ,1.37464e+08
1052  ,96.5262  ,40.4822  ,-72.6009  ,1.37456e+08
1051  ,96.7045  ,40.4822  ,-72.5612  ,1.37441e+08
1037  ,97.056  ,41.0922  ,-72.4624  ,1.37438e+08
87081  ,97.8551  ,41.1897  ,-63.2758  ,1.37437e+08
16479  ,96.9688  ,41.0922  ,-62.9135  ,1.37427e+08
42723  ,97.056  ,41.2872  ,-72.4624  ,1.37406e+08
25209  ,97.3145  ,40.4822  ,-63.0314  ,1.37404e+08
80557  ,97.8551  ,41.3847  ,-63.2758  ,1.37400e+08
7240  ,97.056  ,41.4822  ,-72.4624  ,1.37392e+08
46755  ,96.925  ,41.3847  ,-62.9005  ,1.37356e+08
36204  ,96.4366  ,40.4822  ,-72.6183  ,1.37332e+08
23406  ,97.1261  ,41.9399  ,-62.9636  ,1.37305e+08
7235  ,96.6935  ,42.0918  ,-72.5638  ,1.37295e+08
898  ,97.3995  ,40.4822  ,-63.0648  ,1.37292e+08
34373  ,96.7931  ,40.4822  ,-72.5389  ,1.37288e+08
55618  ,96.1117  ,40.9375  ,-72.6673  ,1.37282e+08
59064  ,96.925  ,41.1897  ,-62.9005  ,1.37282e+08
25586  ,96.1115  ,41.6328  ,-72.6674  ,1.37281e+08
1053  ,96.3466  ,40.4822  ,-72.6341  ,1.37271e+08
7134  ,96.5161  ,42.0896  ,-72.6029  ,1.37263e+08
40412  ,96.0708  ,41.4798  ,-72.672  ,1.37261e+08
897  ,97.2289  ,40.4822  ,-62.9996  ,1.37261e+08
21458  ,97.1427  ,40.4822  ,-62.9693  ,1.37250e+08
54218  ,96.7809  ,42.0905  ,-72.5421  ,1.37241e+08
75894  ,96.9252  ,40.6315  ,-72.5024  ,1.37166e+08
800  ,96.0752  ,41.2872  ,-72.6715  ,1.37158e+08
16442  ,96.9786  ,40.7823  ,-72.4865  ,1.37153e+08
85821  ,97.6506  ,40.4822  ,-63.1742  ,1.37151e+08
15338  ,97.0089  ,41.7894  ,-62.9257  ,1.37147e+08
31867  ,97.0017  ,40.7907  ,-62.9235  ,1.37144e+08
55321  ,96.072  ,41.0936  ,-72.6718  ,1.37121e+08
7152  ,97.243  ,42.0925  ,-63.0047  ,1.37117e+08
7232  ,96.8679  ,42.0893  ,-72.5187  ,1.37105e+08
968  ,97.8954  ,41.0922  ,-63.2973  ,1.37104e+08
7093  ,97.8954  ,41.4822  ,-63.2973  ,1.37070e+08
7132  ,96.3389  ,42.0918  ,-72.6353  ,1.37052e+08
81853  ,96.9319  ,41.937  ,-72.5004  ,1.37049e+08
16478  ,96.9409  ,40.9414  ,-62.9052  ,1.37020e+08
74388  ,96.5709  ,40.3847  ,-72.5916  ,1.37019e+08
44766  ,97.3721  ,42.1898  ,-63.0538  ,1.37003e+08
44769  ,97.4574  ,42.1898  ,-63.0886  ,1.36990e+08
64451  ,97.8686  ,40.9432  ,-63.283  ,1.36964e+08
83830  ,97.5258  ,40.3847  ,-63.1178  ,1.36921e+08
48876  ,97.8954  ,41.2872  ,-63.2973  ,1.36917e+08
42753  ,97.0995  ,41.1897  ,-72.4482  ,1.36911e+08
25208  ,97.3571  ,40.3847  ,-63.0479  ,1.36898e+08
52368  ,97.8033  ,41.94  ,-63.249  ,1.36889e+08
7087  ,96.8811  ,41.4822  ,-62.888  ,1.36867e+08
7156  ,97.5841  ,42.0925  ,-63.1437  ,1.36861e+08
32752  ,96.6495  ,42.1895  ,-72.5742  ,1.36849e+08
32883  ,96.9447  ,41.6369  ,-62.9063  ,1.36843e+08
23407  ,97.1562  ,42.0925  ,-62.9739  ,1.36826e+08
54210  ,96.0254  ,41.3823  ,-72.6767  ,1.36781e+08
65555  ,96.9979  ,41.7822  ,-72.4807  ,1.36753e+08
42725  ,97.0995  ,41.3847  ,-72.4482  ,1.36749e+08
46754  ,96.8811  ,41.2872  ,-62.888  ,1.36735e+08
74161  ,97.4417  ,40.3847  ,-63.0821  ,1.36724e+08
73790  ,96.3917  ,40.3847  ,-72.6264  ,1.36719e+08
67957  ,97.8755  ,41.6349  ,-63.2866  ,1.36706e+08
60617  ,96.2564  ,40.4822  ,-72.6482  ,1.36703e+08
55322  ,96.0266  ,41.1911  ,-72.6766  ,1.36687e+08
32750  ,96.5608  ,42.1884  ,-72.5937  ,1.36675e+08
1087  ,97.8418  ,40.7943  ,-63.2689  ,1.36670e+08
52362  ,97.6677  ,42.0925  ,-63.1823  ,1.36670e+08
83102  ,96.6601  ,40.3847  ,-72.5717  ,1.36636e+08
37612  ,97.1145  ,41.6322  ,-72.4432  ,1.36629e+08
44765  ,97.2862  ,42.1898  ,-63.0207  ,1.36623e+08
88545  ,97.9355  ,41.3847  ,-63.3191  ,1.36623e+08
84463  ,97.9355  ,41.1897  ,-63.3191  ,1.36619e+08
87007  ,97.6092  ,40.3847  ,-63.155  ,1.36615e+08
73784  ,96.4815  ,40.3847  ,-72.6098  ,1.36612e+08
20750  ,96.4721  ,42.1884  ,-72.6116  ,1.36566e+08
7279  ,97.8556  ,41.7876  ,-63.2761  ,1.36561e+08
20747  ,96.3835  ,42.1895  ,-72.6278  ,1.36559e+08
25210  ,97.2718  ,40.3847  ,-63.0153  ,1.36527e+08
77395  ,97.1996  ,42.1898  ,-62.9891  ,1.36518e+08
20743  ,96.2495  ,42.0918  ,-72.6492  ,1.36495e+08
1050  ,96.8812  ,40.4822  ,-72.515  ,1.36456e+08
44770  ,97.5421  ,42.1898  ,-63.1249  ,1.36446e+08
794  ,97.1427  ,41.2872  ,-72.4337  ,1.36439e+08
21451  ,97.1859  ,40.3847  ,-62.9842  ,1.36439e+08
79623  ,96.8246  ,42.1882  ,-72.5305  ,1.36431e+08
34834  ,97.109  ,40.9379  ,-72.4451  ,1.36416e+08
74556  ,97.7875  ,40.6382  ,-63.241  ,1.36387e+08
79624  ,96.7374  ,42.1895  ,-72.5531  ,1.36381e+08
896  ,97.056  ,40.4822  ,-62.9406  ,1.36373e+08
34372  ,96.7488  ,40.3847  ,-72.5502  ,1.36360e+08
956  ,96.8811  ,41.0922  ,-62.888  ,1.36355e+08
65563  ,97.1427  ,41.0922  ,-72.4337  ,1.36353e+08
37611  ,97.1427  ,41.4822  ,-72.4337  ,1.36331e+08
73789  ,96.3016  ,40.3847  ,-72.6413  ,1.36322e+08
34374  ,96.8372  ,40.3847  ,-72.5271  ,1.36317e+08
56040  ,97.626  ,42.1898  ,-63.1628  ,1.36304e+08
53949  ,96.9552  ,42.0905  ,-72.4936  ,1.36274e+08
7247  ,95.9756  ,41.4774  ,-72.6814  ,1.36257e+08
46756  ,96.8371  ,41.3847  ,-62.8758  ,1.36254e+08
55640  ,96.1118  ,40.6325  ,-72.6673  ,1.36244e+08
7158  ,97.7506  ,42.0925  ,-63.2225  ,1.36228e+08
32884  ,96.8569  ,41.6369  ,-62.8812  ,1.36221e+08
23403  ,96.9512  ,41.9421  ,-62.9082  ,1.36200e+08
40413  ,96.0163  ,41.6305  ,-72.6776  ,1.36194e+08
7150  ,97.0688  ,42.0925  ,-62.9447  ,1.36176e+08
1056  ,96.0575  ,40.7828  ,-72.6734  ,1.36150e+08
40446  ,96.1085  ,41.9376  ,-72.6677  ,1.36105e+08
54208  ,95.9843  ,41.2872  ,-72.6806  ,1.36092e+08
59070  ,96.8371  ,41.1897  ,-62.8758  ,1.36092e+08
60626  ,96.0178  ,40.9389  ,-72.6775  ,1.36059e+08
7248  ,96.057  ,41.7835  ,-72.6735  ,1.36019e+08
31868  ,96.9409  ,40.6364  ,-62.9052  ,1.36015e+08
74387  ,96.5262  ,40.2872  ,-72.6009  ,1.36005e+08
882  ,96.6156  ,40.2872  ,-72.5818  ,1.35974e+08
731  ,97.9754  ,41.2872  ,-63.3412  ,1.35973e+08
21459  ,97.0994  ,40.3847  ,-62.9547  ,1.35968e+08
67976  ,97.4148  ,42.2872  ,-63.071  ,1.35959e+08
65551  ,97.1859  ,41.3847  ,-72.4187  ,1.35959e+08
42874  ,97.9754  ,41.4822  ,-63.3412  ,1.35947e+08
85822  ,97.3995  ,40.2872  ,-63.0648  ,1.35944e+08
68220  ,96.5168  ,42.2872  ,-72.6028  ,1.35935e+08
1134  ,97.3292  ,42.2872  ,-63.0371  ,1.35928e+08
20740  ,96.2942  ,42.1895  ,-72.6425  ,1.35924e+08
938  ,95.978  ,41.0951  ,-72.6812  ,1.35923e+08
813  ,97.4838  ,40.2872  ,-63.0998  ,1.35922e+08
812  ,97.3145  ,40.2872  ,-63.0314  ,1.35894e+08
5982  ,96.6053  ,42.2872  ,-72.5841  ,1.35893e+08
900  ,97.7329  ,40.4822  ,-63.2137  ,1.35885e+08
883  ,96.4366  ,40.2872  ,-72.6183  ,1.35835e+08
53947  ,96.9118  ,42.1882  ,-72.5063  ,1.35832e+08
25109  ,97.1859  ,41.1897  ,-72.4187  ,1.35825e+08
84464  ,97.9754  ,41.0922  ,-63.3412  ,1.35822e+08
1135  ,97.4998  ,42.2872  ,-63.1066  ,1.35800e+08
74555  ,97.8686  ,40.6382  ,-63.283  ,1.35758e+08
23404  ,96.9809  ,42.0925  ,-62.9171  ,1.35748e+08
87006  ,97.5676  ,40.2872  ,-63.1362  ,1.35744e+08
5983  ,96.428  ,42.2872  ,-72.6199  ,1.35731e+08
83104  ,96.7045  ,40.2872  ,-72.5612  ,1.35723e+08
67986  ,97.1125  ,42.1898  ,-62.9591  ,1.35721e+08
84748  ,97.243  ,42.2872  ,-63.0047  ,1.35720e+08
84586  ,96.6935  ,42.2872  ,-72.5638  ,1.35714e+08
54209  ,95.9345  ,41.3823  ,-72.685  ,1.35711e+08
74170  ,97.2289  ,40.2872  ,-62.9996  ,1.35710e+08
87084  ,97.9489  ,40.9432  ,-63.3265  ,1.35663e+08
1054  ,96.1659  ,40.4822  ,-72.6607  ,1.35641e+08
34365  ,96.9689  ,40.4822  ,-72.4895  ,1.35631e+08
16477  ,96.853  ,40.9414  ,-62.8802  ,1.35620e+08
83107  ,96.9251  ,40.3847  ,-72.5024  ,1.35612e+08
7242  ,96.1599  ,42.0918  ,-72.6614  ,1.35601e+08
83803  ,97.6919  ,40.3847  ,-63.1938  ,1.35600e+08
77399  ,96.793  ,41.4822  ,-62.8641  ,1.35585e+08
20741  ,96.2047  ,42.1895  ,-72.6555  ,1.35579e+08
724  ,96.793  ,41.2872  ,-62.8641  ,1.35551e+08
44970  ,97.8145  ,40.4822  ,-63.2548  ,1.35537e+08
31864  ,96.9688  ,40.4822  ,-62.9135  ,1.35532e+08
72784  ,96.793  ,41.0922  ,-62.8641  ,1.35531e+08
73788  ,96.3466  ,40.2872  ,-72.6341  ,1.35512e+08
84821  ,97.9557  ,41.6349  ,-63.3302  ,1.35509e+08
