18:18, Sunday, February 15, 2026
Study name:Static 1
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
40549  ,107.223  ,40.7929  ,-66.2049  ,2.47213e+00
74333  ,106.256  ,42.2872  ,-69.8604  ,2.47194e+00
58902  ,106.157  ,42.2872  ,-71.1902  ,2.47192e+00
73673  ,106.401  ,42.2872  ,-68.1214  ,2.47191e+00
26504  ,106.424  ,42.2872  ,-67.7819  ,2.47176e+00
62581  ,106.564  ,41.7307  ,-68.8113  ,2.47175e+00
1092  ,106.335  ,42.2872  ,-68.647  ,2.47157e+00
72940  ,106.283  ,42.2872  ,-69.244  ,2.47155e+00
30160  ,107.018  ,40.2872  ,-70.365  ,2.47151e+00
40543  ,107.299  ,40.2872  ,-67.1069  ,2.47145e+00
88072  ,107.581  ,40.2872  ,-64.386  ,2.47134e+00
82461  ,106.822  ,40.2872  ,-73.0594  ,2.47132e+00
88074  ,107.233  ,40.8882  ,-65.2983  ,2.47130e+00
25532  ,106.668  ,41.7772  ,-67.1719  ,2.47126e+00
40545  ,106.935  ,41.3782  ,-66.1677  ,2.47124e+00
75096  ,106.424  ,42.0821  ,-68.369  ,2.47119e+00
25528  ,106.45  ,42.2872  ,-67.0788  ,2.47102e+00
72941  ,106.361  ,42.0821  ,-68.942  ,2.47096e+00
40546  ,106.717  ,41.8882  ,-66.0747  ,2.47096e+00
16259  ,106.838  ,40.9358  ,-68.8565  ,2.47085e+00
54655  ,106.468  ,41.3882  ,-71.1733  ,2.47080e+00
1085  ,106.933  ,42.2872  ,-62.5843  ,2.47075e+00
7336  ,105.871  ,42.2872  ,-74.7209  ,2.47073e+00
61628  ,106.528  ,42.2872  ,-66.0921  ,2.47061e+00
25533  ,106.528  ,41.8723  ,-67.6775  ,2.47035e+00
55468  ,106.905  ,41.8746  ,-64.0903  ,2.47031e+00
88081  ,106.714  ,42.2872  ,-63.9975  ,2.46981e+00
62580  ,106.528  ,41.6672  ,-68.2646  ,2.46980e+00
37272  ,105.899  ,42.2872  ,-73.2958  ,2.46976e+00
25101  ,106.431  ,41.6452  ,-69.3052  ,2.46952e+00
87626  ,106.088  ,42.2872  ,-70.1726  ,2.46942e+00
56703  ,106.843  ,40.2872  ,-71.0165  ,2.46928e+00
82223  ,106.227  ,42.2872  ,-68.3839  ,2.46927e+00
40553  ,107.242  ,40.2872  ,-66.4119  ,2.46923e+00
86779  ,106.172  ,42.2872  ,-68.9335  ,2.46914e+00
27524  ,106.2  ,41.9966  ,-70.0524  ,2.46909e+00
25123  ,106.683  ,40.9358  ,-69.4594  ,2.46902e+00
16257  ,106.802  ,40.8723  ,-68.3098  ,2.46891e+00
25102  ,106.228  ,41.9966  ,-69.436  ,2.46871e+00
62579  ,106.551  ,41.3279  ,-68.811  ,2.46857e+00
72904  ,106.25  ,42.0821  ,-68.6315  ,2.46855e+00
55466  ,107.15  ,41.2872  ,-63.0988  ,2.46834e+00
12287  ,106.293  ,41.3289  ,-72.05  ,2.46833e+00
33659  ,106.174  ,41.2872  ,-74.2521  ,2.46832e+00
25117  ,106.889  ,40.7772  ,-67.1892  ,2.46791e+00
58906  ,106.052  ,41.808  ,-71.9647  ,2.46747e+00
81554  ,106.13  ,41.836  ,-70.5225  ,2.46729e+00
25105  ,106.271  ,41.5767  ,-69.9503  ,2.46712e+00
73674  ,106.265  ,41.9786  ,-67.9718  ,2.46700e+00
25113  ,106.748  ,40.8723  ,-67.6948  ,2.46698e+00
34635  ,106.375  ,40.808  ,-72.9101  ,2.46698e+00
