16:23, Wednesday, February 18, 2026
Study name:Static 2
Units: N/m^2
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,VON (N/m^2)
973  ,94.1873  ,46.1007  ,-98.5509  ,2.38343e+08
57205  ,94.2794  ,36.5088  ,-98.866  ,2.38339e+08
36614  ,93.3839  ,46.2572  ,-98.4852  ,2.38335e+08
626  ,94.4806  ,36.5852  ,-99.1884  ,2.38329e+08
45342  ,95.012  ,36.7649  ,-98.0754  ,2.38307e+08
6119  ,94.2214  ,46.1007  ,-98.1619  ,2.38299e+08
23710  ,94.6648  ,36.6014  ,-97.5885  ,2.38294e+08
27088  ,94.2566  ,36.4862  ,-98.263  ,2.38282e+08
44820  ,93.5095  ,46.2497  ,-97.7841  ,2.38249e+08
64572  ,95.0035  ,36.7795  ,-98.5243  ,2.38171e+08
64188  ,93.4189  ,46.2586  ,-97.939  ,2.38166e+08
64625  ,94.2347  ,36.4912  ,-98.7097  ,2.38165e+08
23650  ,93.87  ,46.1675  ,-99.1336  ,2.38138e+08
62966  ,94.8354  ,36.6688  ,-97.6035  ,2.38125e+08
59865  ,93.3647  ,46.262  ,-98.185  ,2.38109e+08
38635  ,95.0205  ,36.7795  ,-98.3298  ,2.38097e+08
40176  ,94.7346  ,36.6854  ,-99.2107  ,2.38090e+08
17130  ,94.3948  ,36.555  ,-99.1809  ,2.38050e+08
941  ,93.6016  ,46.2198  ,-99.1115  ,2.37849e+08
22822  ,93.5122  ,46.2338  ,-99.1027  ,2.37834e+08
29967  ,94.0738  ,46.1528  ,-97.5368  ,2.37792e+08
38264  ,93.3472  ,46.262  ,-98.384  ,2.37785e+08
66632  ,94.2566  ,46.0881  ,-98.263  ,2.37738e+08
6166  ,93.9844  ,46.1732  ,-97.529  ,2.37705e+08
23641  ,93.728  ,46.1954  ,-99.2192  ,2.37701e+08
502  ,95.0359  ,36.7994  ,-98.6251  ,2.37688e+08
63774  ,94.2396  ,46.0881  ,-98.4575  ,2.37650e+08
6163  ,93.6237  ,46.238  ,-97.4975  ,2.37647e+08
44498  ,93.4596  ,46.2431  ,-98.9426  ,2.37630e+08
64573  ,95.0529  ,36.7994  ,-98.4306  ,2.37627e+08
13505  ,94.5998  ,36.6336  ,-99.2968  ,2.37557e+08
27087  ,94.2044  ,36.4736  ,-98.3564  ,2.37549e+08
293  ,94.5787  ,36.5701  ,-97.581  ,2.37505e+08
41777  ,94.9514  ,36.7715  ,-98.9289  ,2.37498e+08
507  ,94.1873  ,36.4736  ,-98.5509  ,2.37476e+08
23642  ,93.8171  ,46.1772  ,-99.227  ,2.37455e+08
30216  ,93.9481  ,46.1827  ,-97.428  ,2.37450e+08
243  ,94.2214  ,36.4736  ,-98.1619  ,2.37441e+08
63190  ,93.3705  ,46.2544  ,-98.9234  ,2.37432e+08
46041  ,94.8015  ,36.6513  ,-97.5027  ,2.37389e+08
236  ,95.0699  ,36.7994  ,-98.2362  ,2.37359e+08
60815  ,94.6303  ,36.5856  ,-97.4877  ,2.37340e+08
43089  ,94.4919  ,36.5404  ,-97.5734  ,2.37305e+08
27226  ,94.2331  ,46.1049  ,-97.8563  ,2.37298e+08
290  ,94.9197  ,36.7048  ,-97.6108  ,2.37270e+08
64763  ,94.2169  ,46.088  ,-98.7202  ,2.37250e+08
27227  ,94.2003  ,46.1175  ,-97.7002  ,2.37225e+08
62887  ,93.4764  ,46.2551  ,-97.6379  ,2.37167e+08
62975  ,95.02  ,36.7562  ,-97.7701  ,2.37161e+08
21239  ,94.5148  ,36.601  ,-99.2894  ,2.37127e+08
46040  ,94.7162  ,36.6177  ,-97.4952  ,2.37100e+08
30214  ,93.8582  ,46.2006  ,-97.4201  ,2.37097e+08
54458  ,94.0377  ,46.1632  ,-97.4358  ,2.37081e+08
30030  ,93.768  ,46.2168  ,-97.4122  ,2.37057e+08
388  ,94.2646  ,36.4783  ,-97.8544  ,2.37042e+08
824  ,94.2917  ,46.0752  ,-98.364  ,2.37035e+08
38896  ,94.884  ,36.746  ,-99.0725  ,2.37035e+08
66119  ,94.152  ,36.4615  ,-98.4498  ,2.37030e+08
40762  ,95.0852  ,36.8198  ,-98.5314  ,2.37025e+08
36707  ,94.243  ,36.4759  ,-98.0081  ,2.37007e+08
44310  ,93.638  ,46.2121  ,-99.2127  ,2.37006e+08
6052  ,93.328  ,46.2663  ,-98.0838  ,2.37002e+08
624  ,94.3084  ,36.5263  ,-99.1734  ,2.36992e+08
