16:24, Wednesday, February 18, 2026
Study name:Static 2
Units: mm
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,URES (mm)
22028  ,100.964  ,42.9072  ,-98.4575  ,1.30484e-01
42182  ,101.048  ,42.0051  ,-99.0717  ,1.30476e-01
22629  ,100.938  ,46.5264  ,-98.9119  ,1.30472e-01
22659  ,101.07  ,47.0123  ,-98.4342  ,1.30465e-01
2675  ,101.509  ,39.8347  ,-99.9993  ,1.30462e-01
22029  ,100.898  ,43.2734  ,-98.4517  ,1.30458e-01
22661  ,100.842  ,45.6462  ,-98.4227  ,1.30447e-01
2787  ,100.69  ,45.269  ,-99.9277  ,1.30446e-01
22651  ,100.755  ,46.2757  ,-99.9333  ,1.30446e-01
30616  ,101.963  ,38.7374  ,-98.5171  ,1.30443e-01
20154  ,101.13  ,41.5929  ,-98.7782  ,1.30440e-01
57416  ,100.948  ,42.4345  ,-98.9006  ,1.30435e-01
42265  ,101.218  ,41.4246  ,-97.9662  ,1.30428e-01
42217  ,101.47  ,40.2321  ,-98.9146  ,1.30427e-01
22626  ,100.923  ,47.0977  ,-99.4251  ,1.30426e-01
47773  ,100.8  ,43.5747  ,-98.8771  ,1.30424e-01
42516  ,100.672  ,43.8229  ,-99.9261  ,1.30413e-01
22637  ,100.706  ,45.7467  ,-99.4146  ,1.30410e-01
47932  ,100.82  ,43.996  ,-97.9314  ,1.30399e-01
56232  ,100.753  ,44.8074  ,-98.4021  ,1.30395e-01
4536  ,100.983  ,47.1935  ,-97.9456  ,1.30392e-01
22595  ,100.852  ,46.709  ,-98.4235  ,1.30391e-01
47826  ,101.062  ,41.2113  ,-99.9602  ,1.30384e-01
40247  ,101.327  ,40.4233  ,-99.5212  ,1.30383e-01
21810  ,100.971  ,42.3298  ,-98.2228  ,1.30383e-01
8698  ,100.722  ,46.2245  ,-98.9015  ,1.30371e-01
21807  ,100.989  ,42.2468  ,-97.9462  ,1.30365e-01
42268  ,101.153  ,41.4068  ,-98.1862  ,1.30361e-01
41819  ,100.617  ,44.908  ,-99.394  ,1.30356e-01
22628  ,100.703  ,46.7927  ,-99.4143  ,1.30352e-01
30962  ,102.201  ,37.7076  ,-98.5652  ,1.30343e-01
9899  ,100.782  ,42.6952  ,-99.2877  ,1.30342e-01
45332  ,101.845  ,38.6302  ,-99.5106  ,1.30334e-01
42520  ,100.659  ,43.3666  ,-99.4347  ,1.30322e-01
65429  ,100.789  ,47.3411  ,-98.8907  ,1.30321e-01
2512  ,100.683  ,47.3609  ,-99.9271  ,1.30321e-01
37909  ,100.688  ,45.5685  ,-97.9199  ,1.30318e-01
22642  ,100.614  ,45.3481  ,-98.7912  ,1.30317e-01
7711  ,101.146  ,41.012  ,-99.0431  ,1.30306e-01
42266  ,101.211  ,41.0545  ,-97.9656  ,1.30300e-01
30617  ,101.96  ,38.3377  ,-98.9762  ,1.30300e-01
45876  ,100.698  ,46.6313  ,-97.9207  ,1.30299e-01
39485  ,101.034  ,41.7444  ,-97.9501  ,1.30298e-01
48505  ,100.514  ,44.2852  ,-99.9123  ,1.30296e-01
30656  ,101.633  ,39.5885  ,-98.0025  ,1.30272e-01
53569  ,100.912  ,41.9084  ,-98.7719  ,1.30270e-01
22627  ,100.59  ,46.9784  ,-98.9211  ,1.30263e-01
20119  ,100.951  ,41.8097  ,-98.4467  ,1.30260e-01
27792  ,100.568  ,46.1468  ,-98.3987  ,1.30258e-01
9769  ,100.543  ,44.547  ,-98.8603  ,1.30253e-01
45889  ,100.695  ,47.5169  ,-98.4014  ,1.30253e-01
65425  ,100.411  ,45.7516  ,-99.9032  ,1.30247e-01
19084  ,101.337  ,40.4785  ,-97.9766  ,1.30247e-01
4925  ,100.829  ,42.4858  ,-97.9321  ,1.30240e-01
22026  ,100.763  ,42.852  ,-97.9264  ,1.30235e-01
20116  ,100.969  ,41.7267  ,-98.1701  ,1.30234e-01
22636  ,100.407  ,46.7975  ,-99.9029  ,1.30230e-01
22601  ,100.427  ,46.2293  ,-99.3901  ,1.30224e-01
65959  ,100.579  ,44.5976  ,-97.9103  ,1.30221e-01
