
Study name: Static 2(-Default-)
Plot type: Static nodal stress Stress1
16:52, Monday, February 16, 2026


X Title: Parametric Distance
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
234, 0.6793      ,4.609E+07   ,
235, 0.68222     ,5.1573E+07  ,
236, 0.68513     ,5.7206E+07  ,
237, 0.68805     ,6.2715E+07  ,
238, 0.69096     ,6.8447E+07  ,
239, 0.69388     ,7.4033E+07  ,
240, 0.69679     ,8.006E+07   ,
241, 0.69971     ,8.6079E+07  ,
242, 0.70262     ,9.1816E+07  ,
243, 0.70554     ,9.7326E+07  ,
244, 0.70845     ,1.0346E+08  ,
245, 0.71137     ,1.0973E+08  ,
246, 0.71429     ,1.1558E+08  ,
247, 0.7172      ,1.2153E+08  ,
248, 0.72012     ,1.2724E+08  ,
249, 0.72303     ,1.3271E+08  ,
250, 0.72595     ,1.3868E+08  ,
251, 0.72886     ,1.445E+08   ,
252, 0.73178     ,1.5004E+08  ,
253, 0.73469     ,1.5551E+08  ,
254, 0.73761     ,1.6112E+08  ,
255, 0.74052     ,1.6658E+08  ,
256, 0.74344     ,1.7183E+08  ,
257, 0.74636     ,1.7688E+08  ,
258, 0.74927     ,1.8165E+08  ,
259, 0.75219     ,1.8636E+08  ,
260, 0.7551      ,1.913E+08   ,
261, 0.75802     ,1.9596E+08  ,
262, 0.76093     ,2.0012E+08  ,
263, 0.76385     ,2.0418E+08  ,
264, 0.76676     ,2.0839E+08  ,
265, 0.76968     ,2.1258E+08  ,
266, 0.77259     ,2.1617E+08  ,
267, 0.77551     ,2.1984E+08  ,
268, 0.77843     ,2.2324E+08  ,
269, 0.78134     ,2.2617E+08  ,
270, 0.78426     ,2.2853E+08  ,
271, 0.78717     ,2.312E+08   ,
272, 0.79009     ,2.3427E+08  ,
273, 0.793       ,2.3618E+08  ,
274, 0.79592     ,2.3755E+08  ,
275, 0.79883     ,2.391E+08   ,
276, 0.80175     ,2.4039E+08  ,
277, 0.80466     ,2.4137E+08  ,
278, 0.80758     ,2.4175E+08  ,
279, 0.8105      ,2.4176E+08  ,
280, 0.81341     ,2.4144E+08  ,
281, 0.81633     ,2.411E+08   ,
282, 0.81924     ,2.4059E+08  ,
283, 0.82216     ,2.3881E+08  ,
284, 0.82507     ,2.3763E+08  ,
285, 0.82799     ,2.3619E+08  ,
286, 0.8309      ,2.3398E+08  ,
287, 0.83382     ,2.3131E+08  ,
288, 0.83673     ,2.2837E+08  ,
289, 0.83965     ,2.2561E+08  ,
290, 0.84257     ,2.2187E+08  ,
291, 0.84548     ,2.1804E+08  ,
292, 0.8484      ,2.148E+08   ,
293, 0.85131     ,2.1019E+08  ,
294, 0.85423     ,2.0563E+08  ,
295, 0.85714     ,2.0091E+08  ,
296, 0.86006     ,1.9559E+08  ,
297, 0.86297     ,1.9036E+08  ,
298, 0.86589     ,1.8487E+08  ,
299, 0.8688      ,1.7931E+08  ,
300, 0.87172     ,1.7312E+08  ,
301, 0.87464     ,1.6706E+08  ,
302, 0.87755     ,1.605E+08   ,
303, 0.88047     ,1.5393E+08  ,
304, 0.88338     ,1.4728E+08  ,
305, 0.8863      ,1.4062E+08  ,
306, 0.88921     ,1.3382E+08  ,
307, 0.89213     ,1.2746E+08  ,
308, 0.89504     ,1.1999E+08  ,
309, 0.89796     ,1.1272E+08  ,
310, 0.90087     ,1.0697E+08  ,
311, 0.90379     ,1.0054E+08  ,
312, 0.90671     ,9.3904E+07  ,
313, 0.90962     ,8.8067E+07  ,
314, 0.91254     ,8.1967E+07  ,
315, 0.91545     ,7.6743E+07  ,
316, 0.91837     ,7.2251E+07  ,
317, 0.92128     ,6.8611E+07  ,
318, 0.9242      ,6.5613E+07  ,
319, 0.92711     ,6.3722E+07  ,
320, 0.93003     ,6.2426E+07  ,
321, 0.93294     ,6.2762E+07  ,
322, 0.93586     ,6.3697E+07  ,
323, 0.93878     ,6.613E+07   ,
324, 0.94169     ,6.8894E+07  ,
325, 0.94461     ,7.2548E+07  ,
326, 0.94752     ,7.6856E+07  ,
327, 0.95044     ,8.0873E+07  ,
328, 0.95335     ,8.5567E+07  ,
329, 0.95627     ,9.0827E+07  ,
330, 0.95918     ,9.5922E+07  ,
331, 0.9621      ,1.0095E+08  ,
332, 0.96501     ,1.0588E+08  ,
333, 0.96793     ,1.1105E+08  ,
334, 0.97085     ,1.1605E+08  ,
335, 0.97376     ,1.2057E+08  ,
336, 0.97668     ,1.2529E+08  ,
337, 0.97959     ,1.2873E+08  ,
338, 0.98251     ,1.3256E+08  ,
339, 0.98542     ,1.3678E+08  ,
340, 0.98834     ,1.4027E+08  ,
341, 0.99125     ,1.4323E+08  ,
342, 0.99417     ,1.4618E+08  ,
343, 0.99708     ,1.4802E+08  ,
344, 1,1.5082E+08  ,
