
Study name: Static 2(-Default-)
Plot type: Static nodal stress Stress1
16:48, Monday, February 16, 2026


X Title: Node
Y Title: von Mises (N/m^2)

Point, X, Y1 (von Mises (N/m^2))
349, 348,2.0589E+07  ,
350, 349,2.9058E+07  ,
351, 350,7.049E+07   ,
352, 351,6.1612E+07  ,
353, 352,2.9087E+07  ,
354, 353,2.9037E+07  ,
355, 354,2.6965E+07  ,
356, 355,8.689E+07   ,
357, 356,2.9113E+07  ,
358, 357,1.1489E+07  ,
359, 358,3.7861E+07  ,
360, 359,2.1047E+07  ,
361, 360,7.6734E+07  ,
362, 361,6.9188E+07  ,
